"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"DANIELLE PAULA NUNES ALVES";"DANIELLE DE PAULA";"Vereador";51456;"PATRIOTA";"PATRIOTA";"Indeferido";"Concorrendo"
"DANIEL BRAGA SHOJI";"DANIEL SHOJI CHINA";"Vereador";15123;"MDB";"MDB";"Deferido";"Concorrendo"
"DANILO BELARMINO FELTRAN";"DANILO FELTRAN";"Vereador";11234;"PP";"PP";"Deferido";"Concorrendo"
"DÁRCIO AGUILAR VIEIRA ALVES";"DÁRCIO AGUILAR";"Vereador";15555;"MDB";"MDB";"Deferido";"Concorrendo"
"DAVID FABIANO RIBEIRO";"DAVID";"Vereador";77111;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
"DAVID CARLOS BANDEIRA";"DAVID BANDEIRA";"Vereador";17700;"PSL";"PSL";"Deferido";"Concorrendo"
"DAVID CARLOS DE JESUS";"DAVID JESUS";"Vereador";25234;"DEM";"DEM";"Deferido";"Concorrendo"
"DAVID GARCIA DE MELO";"DAVID PIZZALANDIA";"Vereador";11555;"PP";"PP";"Deferido";"Concorrendo"
"DAVID CRISTIAN REIS";"DAVI REIS";"Vereador";17017;"PSL";"PSL";"Deferido";"Concorrendo"
"DEBORA CRISTINA MOTTA OLIVEIRA";"DEBORAH MOTTA PROTETORA";"Vereador";11156;"PP";"PP";"Deferido";"Concorrendo"
"DEISE APARECIDA FERNANDES";"DEISE FERNANDES";"Vereador";51300;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"DEMIAN VINNICIUS STROSE GUIDINI";"DEMIAN DA BY BRO";"Vereador";25678;"DEM";"DEM";"Deferido";"Concorrendo"
"DENILSON PEREIRA DOMINGOS";"DENILSON DOMINGOS";"Vereador";55300;"PSD";"PSD";"Deferido";"Concorrendo"
"DENIS PEREIRA DE OLIVEIRA";"DENIS CABEÇÃO";"Vereador";14093;"PTB";"PTB";"Deferido";"Concorrendo"
"LUIZ DIEGO DE OLIVEIRA LICURCI";"DIEGO LICURCI";"Vereador";51001;"PATRIOTA";"PATRIOTA";"Renúncia";"Concorrendo"
"DILERMANDO DIÉ ANTÔNIO DE ALVARENGA";"DILERMANDO DIÉ DE ALVARENGA";"Vereador";45678;"PSDB";"PSDB";"Deferido";"Concorrendo"
"DILSON FERNANDES CARDOSO";"DILSON CARDOSO";"Vereador";22200;"PL";"PL";"Deferido";"Concorrendo"
"JOSÉ BENEDITO DE OLIVEIRA";"DITINHO DO ESCAPAMENTO";"Vereador";77077;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
"BENEDITO APARECIDO COSTA";"DITINHO GAIZEIRO";"Vereador";23124;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"JEFFERSON ARAUJO DE SOUZA";"DJ JEFFERSON ARAUJO";"Vereador";51123;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"MARIA DAS GRAÇAS DA SILVA";"DONA GRAÇA";"Vereador";23345;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"DONIZETTI BUENO DE SOUZA";"DONIZETTI BUENO";"Vereador";55600;"PSD";"PSD";"Deferido";"Concorrendo"
"JOSE DOUGLAS DA SILVA FERREIRA";"DOUGLAS FERREIRA";"Vereador";19231;"PODE";"PODE";"Indeferido com recurso";"Concorrendo"
"DOUGLAS GOMES PORTO DOS SANTOS";"DOUGLAS PORTO";"Vereador";19000;"PODE";"PODE";"Deferido";"Concorrendo"
"DOUGLAS ALVES DE MOURA";"DOUGLAS REBOLEICHO";"Vereador";65651;"PC do B";"PC do B";"Deferido";"Concorrendo"
"JUSSELI BRAZ DA SILVA";"DOUGLAS SEGURANÇA";"Vereador";45667;"PSDB";"PSDB";"Deferido";"Concorrendo"
"ANE ROSE AIRE CARLOS";"DOUTORA ANE";"Vereador";36727;"PTC";"PTC";"Indeferido";"Concorrendo"
"ANDREA BETTIATI";"DRA ANDREA";"Vereador";15008;"MDB";"MDB";"Deferido";"Concorrendo"
"ROCIO MARTINEZ GONZALEZ";"DRA CURY ROCIO";"Vereador";40500;"PSB";"PSB";"Deferido";"Concorrendo"
"ELTON ALVES RIBEIRO DE CARVALHO JUNIOR";"DR ELTON";"Vereador";15192;"MDB";"MDB";"Deferido";"Concorrendo"
"EVANDRO DA SILVA ZACARIAS";"DR EVANDRO ZACARIAS";"Vereador";45645;"PSDB";"PSDB";"Deferido";"Concorrendo"
"JOSÉ CLAUDIO MANCILHA DE FARIA BARBOSA";"DR JOSÉ CLAUDIO";"Vereador";45345;"PSDB";"PSDB";"Deferido";"Concorrendo"
"ROBERTO KENJI ISHII";"DR KENJI";"Vereador";23007;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"LUIZ ANTONIO ANGELO DA SILVA";"DR. LUIZ ANTONIO";"Vereador";11012;"PP";"PP";"Deferido";"Concorrendo"
"PAM WEN LUNG";"DR PAM";"Vereador";22888;"PL";"PL";"Deferido";"Concorrendo"
"RODRIGO DE MORAES CANELAS";"DR. RODRIGO CANELAS";"Vereador";14567;"PTB";"PTB";"Deferido";"Concorrendo"
"EDUARDO SIVINSKI";"DUDU SIVINSKI";"Vereador";70000;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"DULCE RITA CHAVES DE ANDRADE DABKIWICZ";"DULCE RITA";"Vereador";45400;"PSDB";"PSDB";"Deferido";"Concorrendo"
"EDBAL GOMES CASTRO";"EDBAL DO ARCOM";"Vereador";17025;"PSL";"PSL";"Deferido";"Concorrendo"
"EDEN CARLOS DE JESUS";"EDEN CARLOS";"Vereador";23789;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"EDEN PRATA";"EDEN PRATA";"Vereador";13900;"PT";"PT";"Deferido";"Concorrendo"
"EDISON BARBOSA DA SILVA";"EDISON PYTBULL";"Vereador";19123;"PODE";"PODE";"Deferido";"Concorrendo"
"EDIVALDO FERREIRA SANTOS";"EDIVALDO MARROM";"Vereador";20081;"PSC";"PSC";"Deferido";"Concorrendo"
"EDSON IVAIR CARBONE";"EDSON CARBONE";"Vereador";77001;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
"EDSON JOSE DA SILVA";"EDSON COCADA";"Vereador";65001;"PC do B";"PC do B";"Deferido";"Concorrendo"
"EDSON BATISTA SOBRINHO";"EDSON DOS ABACAXIS";"Vereador";13433;"PT";"PT";"Deferido";"Concorrendo"
"EDISON PEREIRA FARIA";"EDSON FARIA";"Vereador";11123;"PP";"PP";"Deferido";"Concorrendo"
"EDSON NUNES LISBOA";"EDSON LISBOA";"Vereador";18123;"REDE";"REDE";"Indeferido com recurso";"Concorrendo"
"EDSON WAGNER MENDONÇA MONTEIRO";"EDSON MONTEIRO";"Vereador";77737;"SOLIDARIEDADE";"SOLIDARIEDADE";"Indeferido";"Concorrendo"
"LUIZ EDUARDO PEREIRA";"EDUARDO DO YOGA";"Vereador";13108;"PT";"PT";"Deferido";"Concorrendo"
"EDUARDO GUEDES DA CUNHA";"EDUARDO GUEDES";"Vereador";28231;"PRTB";"PRTB";"Deferido";"Concorrendo"
"EDUARDO DE OLIVEIRA SILVA CARNEIRO";"EDUARDO METALURGICO";"Vereador";65000;"PC do B";"PC do B";"Deferido";"Concorrendo"
"EDUARDO DOS SANTOS";"EDU RESGATANDO SÃO JOSÉ";"Vereador";15156;"MDB";"MDB";"Deferido";"Concorrendo"
"JOSÉ EDVAR SIMÕES JUNIOR";"EDVAR SIMÕES";"Vereador";17000;"PSL";"PSL";"Deferido";"Concorrendo"
"ELAINE LOPES DA SILVA";"ELAINE DO BANHADO";"Vereador";13012;"PT";"PT";"Deferido";"Concorrendo"
"ELANE FERREIRA RIBEIRO DE SOUZA";"ELANE DIRETORA";"Vereador";70555;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"ELEANDRO RICARDO DA SILVA";"ELEANDRO";"Vereador";45010;"PSDB";"PSDB";"Deferido";"Concorrendo"
"ELENA KIMIE TATEISHI";"ELENA TATEISHI";"Vereador";45156;"PSDB";"PSDB";"Deferido";"Concorrendo"
"ELIAS DOS SANTOS ALMEIDA";"ELIAS TATU DO GRANJÃO E SITIÃO";"Vereador";28333;"PRTB";"PRTB";"Deferido";"Concorrendo"
"ELISETE SANTANA RODRIGUES";"ELISETE DO BRECHÓ";"Vereador";51007;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"ELSON EDUARDO DE SOUZA";"ELSÃO";"Vereador";14400;"PTB";"PTB";"Deferido";"Concorrendo"
"EMANOEL AURELIANO DE SOUSA";"EMANOEL";"Vereador";55321;"PSD";"PSD";"Deferido";"Concorrendo"
"EMERSON JOSÉ REIS BOCCARDO";"EMERSON KABEÇA";"Vereador";28027;"PRTB";"PRTB";"Deferido";"Concorrendo"
"EMERSON GONÇALVES DOS SANTOS";"EMERSON SANTOS";"Vereador";51900;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"LUCINÊS CABRAL DA ROCHA";"ENFERMEIRA LUCINÊS";"Vereador";51888;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"ADRIANO TANNOUS SAAB";"ENG ADRIANO SAAB";"Vereador";51444;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"FRANCISCO RAMOS DA SILVA FILHO";"ENGENHEIRO FRANCISCO RAMOS";"Vereador";19033;"PODE";"PODE";"Deferido";"Concorrendo"
"ENSO ROBERTO GURATTI MORAIS";"ENSO GURATTI";"Vereador";23221;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"ERLANI APARECIDA ROSA";"ERLANI BOMBOM";"Vereador";22367;"PL";"PL";"Deferido";"Concorrendo"
"ERNANE SANTOS LOYOLA";"ERNANE DA PADARIA";"Vereador";23000;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"ESDRAS ANDRADE DE ARAUJO";"ESDRAS PROTETOR";"Vereador";19019;"PODE";"PODE";"Deferido";"Concorrendo"
"EUNICE FERRAZ DA SILVA MILERIO";"EUNICE FERRAZ";"Vereador";65100;"PC do B";"PC do B";"Deferido";"Concorrendo"
"EUNICE APARECIDA PAULINO LEITE";"EUNICE LEITE";"Vereador";10100;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"FABIO LUCIO FAINI";"FABAO";"Vereador";23456;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"FABIANA ISABEL SILVA";"FABIANA SILVA";"Vereador";15122;"MDB";"MDB";"Deferido";"Concorrendo"
"FABIO LEANDRO RAMOS";"FABIÃO ZAGUEIRO";"Vereador";77699;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
"FABIO APARECIDO DE MORAIS";"FABINHO DO AÇAÍ";"Vereador";51555;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"FABIO LEANDRO DA SILVA";"FABINHO SÃO JOSÉ";"Vereador";17190;"PSL";"PSL";"Deferido";"Concorrendo"
"FABIO FRANCISCO DIAS";"FABIO DO CASTANHEIRAS";"Vereador";14555;"PTB";"PTB";"Deferido";"Concorrendo"
"FABIANE CRISTINA XISTO";"FABI XISTO";"Vereador";77333;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
